사업자번호,업체명,공시번호,종목코드
2018120549,(주)신세계아이앤씨,00219486,035510
2018154791,(주)엠케이에프엔씨,00238834,
2018155688,(주)GC메디아이,00220057,032620
2018176174,(주)에이비씨마트코리아,00496340,
2018177964,(주)러쉬코리아,00890281,
2018638914,에이치케이이노엔 주식회사,01012066,195940
2028138251,동양생명보험(주),00117267,082640
2028145602,삼성카드(주),00126292,029780
2028154585,주식회사 하나투어비즈니스,01885596,
2048103990,주식회사재능교육,00185152,
2048129379,(주)재능이아카데미,00574310,
2048141179,패션그룹형지(주),00531591,
2068118164,주식회사 써머스플랫폼,00553539,
2068171795,(주)세일코리아넷,01467372,
2088106344,(주)웅진,00143651,016880
2088113302,(주)에스원,00158501,012750
2098123948,고운세상코스메틱,01104932,
2108141081,(주)세이브존아이앤씨,00422895,067830
2118119597,케이지트레이딩주식회사,00130295,
2118119938,(주) DB Inc.,00163345,012030
2118179649,(주)케이티알파,00260958,036030
2118622189,(주)클리오,00957735,237880
2118631577,아이에스동서(주),00115977,010780
2118668230,주식회사 브랜드웍스코리아,01247556,
2118690483,(주)디지털다임,01472958,
2118707735,(주)비상교육,00520887,100220
2118719532,주식회사 유로세라믹,00677547,
2118855608,주식회사 옐로오투오그룹,01083028,
2118870822,갤럭시아코퍼레이션(주),00929705,
2118879575,주식회사 무신사,01137727,
2118895935,엠즈씨드주식회사,00989600,
2128105946,주식회사 세스코,00449652,
2138140742,(주)코밴,00230939,
2138152063,주식회사 아성다이소,00411835,
2138632489,삼정데이타서비스(주),00261814,
2148108779,(주)경농,00101433,002100
2148116323,(주)세이브존리베라,00186151,
2148188356,(주)골든듀,00188894,
2148196569,(주)한솥,00876740,
2148199488,씨제이건설 (주),00222550,
2148638356,휴넷,00271343,
2148639239,(주)가비아,00506294,079940
2148648586,AJ네트웍스 주식회사,00365387,095570
2148649402,(주)에프앤코,00959016,
2148662782,(주)인스밸리,00331043,
2148668729,(주)동원F&B,00340917,049770
2148808555,주식회사 엔비스,01381595,
2148825078,주식회사 엘유티,00816809,
2148837633,메가넥스트 주식회사,00924490,
2168118986,주식회사 세라젬 씨앤에스,01650583,
2188100328,(주)신도리코,00135795,029530
2188121342,쌤소나이트코리아 주식회사,00361071,
2208101830,(주)아가방앤컴퍼니,00138446,013990
2208102504,(주)케이엘넷,00246620,039420
2208103371,청오디피케이(주),00367738,
2208115601,한국렌탈(주),00157292,
2208131765,(주)에넥스,00139764,011090
2208145177,(주)지엔코,00258102,065060
2208155597,(주)케이지이니시스,00264547,035600
2208162517,네이버(주),00266961,035420
2208176893,에스케이엠앤서비스(주),00520805,
2208182546,(주)케이지파이낸셜,00405278,046440
2208607635,(주)불스원,00417680,
2208715073,(주)파스텔세상,00566065,
2208742885,(주)야놀자,00907864,
2208760976,주식회사 트라이본즈,00816429,
2208769701,주식회사 아성솔루션,01215283,
2208777410,(주)네이처리퍼블릭,00815086,
2208783590,(주)아성에이치엠피,00820398,
2208787053,(주)아성,00924685,
2208790830,(주)비즈니스인사이트,01457977,
2208791595,(주)그린카,00992242,
2208809321,주식회사 소노스테이션,00974875,
2208819571,디엔에이 서울 주식회사,00969420,
2208838020,콘텐츠웨이브 주식회사,00944926,
2208883511,(주)지냄,01804731,
2238108341,(주)소노인터내셔널,00550833,
2298137000,예스이십사(주),00362858,053280
2458800111,주식회사 와이시너지,01287712,
2568802180,주식회사세스코라이프케어,01725708,
2588700070,주식회사 렌딧,01170555,
2618107437,주식회사 코인원,01263378,
2618123567,주식회사 컬리,01153956,
2648114669,(주)블루스톤익스체인지,01300688,
2648117458,차란차 주식회사,01719594,
2648128329,골든듀에이엠씨,01332234,
2848801847,(주)알엑스씨(RXC),01713369,
3058138977,(주)네오팜,00551920,092730
3128142519,CJ푸드빌주식회사,00357120,
3138133895,주식회사 싸이월드제트,01740594,
3148103453,(주)케이티지니뮤직,00223762,043610
3148126169,(주)옵트론텍,00327396,082210
3148142683,(주)케이티씨에스,00372882,058850
3178601314,씨제이피드앤케어 주식회사,01395190,
3648600795,주식회사 메먼트,01646614,
3728600724,아레나코리아 주식회사,01372807,
3748702744,이탈리아오토모빌리 주식회사,01919893,
3788601279,주식회사 레드이엔지,01835315,
3908701499,주식회사 오설록,01408032,
4028150705,(주) 아이엠아이,00578884,
4048601054,투썸플레이스 주식회사,01275948,
4048602621,주식회사 쇼골프,01817948,
4088100315,주식회사 스마트저축은행,00151030,
4188108269,(주)내쇼날모터스,00489030,
4458702221,씨제이웰케어 주식회사,01662153,
4518102355,주식회사 다다엠앤씨,01528044,
4758102157,힐러비 주식회사,01583935,
5038108214,한국OSG(주),00156381,
5048608283,엔젤게임즈,01538519,
5278601793,에스아이앤엘주식회사,01473090,
5288800132,(주)소노파트너스,01846135,
5288800622,에이치디건설기계(주),01205842,267270
5698701168,(주)대명티피앤이,01344716,
6038111270,씨제이프레시웨이(주),00127954,051500
6038802071,오뚜기물류서비스(주),01523863,
6048115788,(주)소노스퀘어,00104810,007720
6068700134,주식회사 디케이테크인,01139947,
6078126552,(주)르까프,00166209,
6098123911,(주)포스텍,00299932,
6098142811,도이치모터스(주),00449379,067990
6108156858,(주)웅진프리드라이프,00618508,
6138165278,주식회사 크몽,01369548,
6178148252,주식회사 미디어윌네트웍스,00966618,
6198702671,씨제이이엔엠스튜디오스 주식회사,01674750,
6718801814,주식회사 서북,01737323,
7168100915,(주)핑거스토리,01584934,417180
7328602017,대한항공씨앤디서비스 주식회사,01552810,
7458100271,주식회사 원더풀플랫폼,01604520,
7478100388,스튜디오드래곤(주),01168684,253450
7648101136,(주)다비치안경체인,01336726,
7808700034,메가스터디교육(주),01074862,215200
7878700729,케이카 주식회사,01323032,381970
8098101574,씨제이올리브영 주식회사,01423068,
8108600658,(주)데이원컴퍼니,01455492,373160
8158800093,주식회사 발란,01551565,
8248102515,주식회사 놀유니버스,01669323,
8368602172,(주)바비톡,01614226,
8448600705,주식회사 트리즈커머스,01751873,
8618101247,(주)티오더,01746561,
8618101475,주식회사 페이히어,01818752,
8648700609,주식회사 엔아이티소프트,01916036,
8918800985,주식회사 카카오커머스,01351062,
